Customer ID,Count,Avg Order Value,Average Rating,Average Delivery Time,Delivery Delay Mode,Refund Requested Mode,Platform Mode,Product Category Mode
CUST8779,26,568.5384615384615,3.0,28.846153846153847,0,0,Blinkit,Fruits & Vegetables
CUST1848,25,578.28,2.8,30.28,0,1,Swiggy Instamart,Grocery
CUST8289,24,543.75,3.0833333333333335,31.375,0,0,Blinkit,Dairy
CUST3532,23,531.7826086956521,3.0434782608695654,26.82608695652174,0,0,Blinkit,Personal Care
CUST3001,23,630.695652173913,3.739130434782609,27.82608695652174,0,0,Blinkit,Personal Care
CUST2633,23,565.2173913043479,3.6956521739130435,29.347826086956523,0,0,Blinkit,Beverages
CUST5902,23,617.5217391304348,3.3043478260869565,29.52173913043478,0,0,Swiggy Instamart,Beverages
CUST7557,22,579.4090909090909,3.0454545454545454,26.954545454545453,0,0,JioMart,Snacks
CUST1897,22,513.5909090909091,3.090909090909091,26.5,0,1,Swiggy Instamart,Snacks
CUST5476,22,623.2727272727273,2.9545454545454546,27.772727272727273,0,1,Blinkit,Personal Care
CUST4519,22,506.59090909090907,2.727272727272727,31.318181818181817,0,1,Blinkit,Grocery
CUST9185,22,462.3636363636364,3.9545454545454546,32.86363636363637,0,0,JioMart,Dairy
CUST5252,22,535.9545454545455,3.6818181818181817,29.272727272727273,0,0,Blinkit,Grocery
CUST5009,22,668.7272727272727,3.5,26.045454545454547,0,0,JioMart,Beverages
CUST3795,22,598.1818181818181,2.6818181818181817,26.545454545454547,0,1,Blinkit,Fruits & Vegetables
CUST6867,22,528.3636363636364,3.0454545454545454,31.136363636363637,0,1,JioMart,Grocery
CUST1244,21,529.8095238095239,2.9047619047619047,32.285714285714285,0,1,Swiggy Instamart,Grocery
CUST7697,21,649.3333333333334,2.4285714285714284,30.238095238095237,0,1,Blinkit,Personal Care
CUST3713,21,476.95238095238096,3.857142857142857,31.142857142857142,0,0,JioMart,Dairy
CUST2195,21,572.7619047619048,3.4761904761904763,28.428571428571427,0,0,JioMart,Beverages
CUST7974,21,619.6666666666666,3.380952380952381,27.952380952380953,0,0,JioMart,Snacks
CUST7401,21,618.1428571428571,3.5238095238095237,31.142857142857142,0,0,Swiggy Instamart,Grocery
CUST9201,21,458.6190476190476,3.4761904761904763,33.523809523809526,0,0,Blinkit,Fruits & Vegetables
CUST3525,21,484.42857142857144,2.857142857142857,31.38095238095238,0,1,Swiggy Instamart,Grocery
CUST6931,21,461.85714285714283,3.380952380952381,29.714285714285715,0,0,Blinkit,Beverages
CUST6269,21,516.0,3.8095238095238093,30.095238095238095,0,0,JioMart,Fruits & Vegetables
CUST4578,21,504.14285714285717,3.142857142857143,29.571428571428573,0,1,Swiggy Instamart,Snacks
CUST6250,21,542.7142857142857,2.619047619047619,26.714285714285715,0,1,Blinkit,Fruits & Vegetables
CUST7392,21,463.1904761904762,2.619047619047619,28.476190476190474,0,1,JioMart,Dairy
CUST2681,21,558.8571428571429,3.4285714285714284,27.047619047619047,0,0,Blinkit,Beverages
CUST2415,21,503.95238095238096,2.9523809523809526,27.19047619047619,0,1,JioMart,Dairy
CUST8010,21,588.8571428571429,3.0,26.333333333333332,0,1,JioMart,Fruits & Vegetables
CUST2393,21,685.7619047619048,3.238095238095238,31.19047619047619,0,0,Blinkit,Personal Care
CUST4666,21,646.1904761904761,3.5238095238095237,26.523809523809526,0,0,JioMart,Beverages
CUST7308,21,545.8095238095239,2.2857142857142856,30.428571428571427,0,1,Blinkit,Dairy
CUST4471,21,613.7142857142857,2.9047619047619047,33.714285714285715,0,0,JioMart,Personal Care
CUST9530,21,587.6190476190476,4.0,28.952380952380953,0,0,Swiggy Instamart,Personal Care
CUST5028,21,539.3809523809524,2.9523809523809526,30.047619047619047,0,1,Blinkit,Dairy
CUST1605,20,809.25,3.25,28.0,0,0,Blinkit,Personal Care
CUST8240,20,668.65,3.15,30.55,0,0,Swiggy Instamart,Grocery
CUST9751,20,661.0,2.85,28.6,0,1,Swiggy Instamart,Personal Care
CUST9248,20,511.7,3.4,32.35,0,0,JioMart,Beverages
CUST3761,20,541.1,3.1,34.35,0,1,Blinkit,Dairy
CUST6515,20,661.0,2.9,30.1,0,1,JioMart,Personal Care
CUST5173,20,552.2,3.55,30.15,0,0,Swiggy Instamart,Beverages
CUST2920,20,434.4,2.7,29.3,0,1,Blinkit,Fruits & Vegetables
CUST7305,20,549.0,3.2,29.6,0,0,Swiggy Instamart,Fruits & Vegetables
CUST7473,20,620.7,3.2,28.8,0,0,Swiggy Instamart,Dairy
CUST9084,20,777.35,3.45,27.1,0,0,Blinkit,Dairy
CUST3832,20,611.8,3.15,33.0,0,0,Swiggy Instamart,Fruits & Vegetables
CUST2274,20,506.35,3.15,32.4,0,1,JioMart,Grocery
CUST8877,20,683.65,3.2,28.4,0,0,Blinkit,Grocery
CUST1971,20,581.05,3.9,28.6,0,0,Swiggy Instamart,Dairy
CUST2875,20,641.7,3.45,31.6,0,0,JioMart,Grocery
CUST2369,20,667.65,3.25,30.25,0,0,JioMart,Personal Care
CUST6080,20,676.6,3.0,26.4,0,1,Blinkit,Grocery
CUST6963,20,581.9,2.85,28.25,0,0,Swiggy Instamart,Personal Care
CUST1981,20,453.7,3.45,32.9,0,0,JioMart,Dairy
CUST3621,20,667.2,3.7,29.1,0,0,Swiggy Instamart,Grocery
CUST6363,20,569.25,3.7,28.85,0,0,Swiggy Instamart,Dairy
CUST7131,20,480.45,3.35,30.6,0,0,Blinkit,Dairy
CUST8472,20,552.95,3.8,28.45,0,0,JioMart,Dairy
CUST6199,20,537.2,2.9,31.3,0,1,Blinkit,Dairy
CUST2006,20,587.9,3.45,26.0,0,0,JioMart,Grocery
CUST5699,20,620.5,3.55,28.45,0,0,Blinkit,Personal Care
CUST9501,20,591.65,3.15,27.35,0,0,Blinkit,Snacks
CUST2713,20,569.85,2.5,31.65,0,1,JioMart,Beverages
CUST5441,20,716.8,3.8,32.0,0,0,Blinkit,Personal Care
CUST9228,20,634.0,2.8,29.7,0,1,Swiggy Instamart,Beverages
CUST3292,20,625.45,3.85,31.95,0,0,Swiggy Instamart,Personal Care
CUST6152,20,530.9,3.6,29.25,0,0,Blinkit,Grocery
CUST2600,20,531.9,2.85,31.2,0,1,JioMart,Snacks
CUST8353,20,444.2,3.25,29.7,0,1,Swiggy Instamart,Dairy
CUST3440,20,606.9,3.3,29.45,0,0,Blinkit,Snacks
CUST3509,20,613.0,3.3,30.4,0,0,JioMart,Snacks
CUST3305,20,490.25,3.05,30.65,0,1,Swiggy Instamart,Dairy
CUST8025,20,641.35,3.55,30.2,0,0,Blinkit,Grocery
CUST8761,20,577.35,3.1,30.8,0,1,Swiggy Instamart,Personal Care
CUST8086,20,408.85,3.3,28.45,0,0,JioMart,Fruits & Vegetables
CUST3222,20,621.5,2.95,29.2,0,1,Blinkit,Grocery
CUST9034,20,691.25,3.25,28.1,0,0,Swiggy Instamart,Beverages
CUST5333,20,730.05,3.0,28.7,0,0,Swiggy Instamart,Grocery
CUST7951,20,541.25,3.15,29.25,0,0,Blinkit,Personal Care
CUST4621,19,596.578947368421,2.789473684210526,32.94736842105263,0,1,Blinkit,Personal Care
CUST6351,19,434.6842105263158,3.473684210526316,27.473684210526315,0,0,Blinkit,Dairy
CUST8586,19,595.2631578947369,2.736842105263158,32.36842105263158,0,1,Swiggy Instamart,Dairy
CUST2642,19,501.94736842105266,3.3684210526315788,32.31578947368421,0,0,JioMart,Dairy
CUST9971,19,626.9473684210526,3.3684210526315788,28.31578947368421,0,0,Swiggy Instamart,Dairy
CUST6549,19,645.1052631578947,3.3157894736842106,29.789473684210527,0,0,Swiggy Instamart,Grocery
CUST2049,19,680.3684210526316,3.6315789473684212,30.263157894736842,0,0,JioMart,Dairy
CUST9948,19,516.8421052631579,3.210526315789474,31.36842105263158,0,0,Swiggy Instamart,Snacks
CUST5478,19,625.3684210526316,2.5789473684210527,29.05263157894737,0,1,Swiggy Instamart,Snacks
CUST3947,19,497.7894736842105,2.6842105263157894,26.63157894736842,0,1,Swiggy Instamart,Dairy
CUST9861,19,559.7368421052631,2.9473684210526314,27.94736842105263,0,1,Blinkit,Fruits & Vegetables
CUST2160,19,496.4736842105263,3.6315789473684212,33.73684210526316,0,0,Blinkit,Snacks
CUST6131,19,481.42105263157896,3.0,30.05263157894737,0,0,JioMart,Personal Care
CUST8764,19,643.0,3.4210526315789473,29.789473684210527,0,0,Blinkit,Grocery
CUST4314,19,676.8947368421053,3.263157894736842,27.63157894736842,0,0,Blinkit,Beverages
CUST7370,19,636.3157894736842,3.736842105263158,29.157894736842106,0,0,Swiggy Instamart,Fruits & Vegetables
CUST8062,19,627.8947368421053,3.263157894736842,26.31578947368421,0,0,Blinkit,Dairy
CUST2527,19,621.0,3.4210526315789473,30.68421052631579,0,0,Blinkit,Dairy
CUST8101,19,634.421052631579,3.263157894736842,32.63157894736842,0,0,Blinkit,Fruits & Vegetables
